icd10_code	icd10_phe
M90819	Osteopathy in diseases classified elsewhere, unspecified shoulder
D519	Vitamin B12 deficiency anemia, unspecified
S31139	Puncture wound of abdominal wall without foreign body, unspecified quadrant without penetration into peritoneal cavity
Z369	Encounter for antenatal screening, unspecified
S06823	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes
S65492	Other specified injury of blood vessel of left thumb
T43012	Poisoning by tricyclic antidepressants, intentional self-harm
M9926	Subluxation stenosis of neural canal of lower extremity
S9085	Superficial foreign body of foot
C7880	Secondary malignant neoplasm of unspecified digestive organ
M1284	Other specific arthropathies, not elsewhere classified, hand
G93	Other disorders of brain
H30003	Unspecified focal chorioretinal inflammation, bilateral
O36091	Maternal care for other rhesus isoimmunization, first trimester
M8735	Other secondary osteonecrosis, pelvis and femur
C6942	Malignant neoplasm of left ciliary body
W64	Exposure to other animate mechanical forces
V00848	Other accident with standing micro-mobility pedestrian conveyance
T180	Foreign body in mouth
M86031	Acute hematogenous osteomyelitis, right radius and ulna
P963	Wide cranial sutures of newborn
S3781	Injury of adrenal gland
K8013	Calculus of gallbladder with acute and chronic cholecystitis with obstruction
S91246	Puncture wound with foreign body of unspecified lesser toe(s) with damage to nail
H748X9	Other specified disorders of middle ear and mastoid, unspecified ear
S52321	Displaced transverse fracture of shaft of right radius
I82403	Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral
N135	Crossing vessel and stricture of ureter without hydronephrosis
H442D2	Degenerative myopia with foveoschisis, left eye
E744	Disorders of pyruvate metabolism and gluconeogenesis
L89619	Pressure ulcer of right heel, unspecified stage
M0228	Postimmunization arthropathy, vertebrae
I70461	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg
L86	Keratoderma in diseases classified elsewhere
M009	Pyogenic arthritis, unspecified
C494	Malignant neoplasm of connective and soft tissue of abdomen
H1624	Ophthalmia nodosa
S65503	Unspecified injury of blood vessel of left middle finger
T80212	Local infection due to central venous catheter
N99522	Malfunction of incontinent external stoma of urinary tract
R30	Pain associated with micturition
S002	Other and unspecified superficial injuries of eyelid and periocular area
S90572	Other superficial bite of ankle, left ankle
H31121	Diffuse secondary atrophy of choroid, right eye
Z5211	Skin donor, autologous
T65	Toxic effect of other and unspecified substances
T43215	Adverse effect of selective serotonin and norepinephrine reuptake inhibitors
M66251	Spontaneous rupture of extensor tendons, right thigh
M790	Rheumatism, unspecified
L0332A	Acute lymphangitis of flank
M9966	Osseous and subluxation stenosis of intervertebral foramina of lower extremity
Z4541	Encounter for adjustment and management of cerebrospinal fluid drainage device
I2581	Atherosclerosis of other coronary vessels without angina pectoris
M86349	Chronic multifocal osteomyelitis, unspecified hand
S9235	Fracture of fifth metatarsal bone
M25674	Stiffness of right foot, not elsewhere classified
G9731	Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating a nervous system procedure
N768	Other specified inflammation of vagina and vulva
D472	Monoclonal gammopathy
K004	Disturbances in tooth formation
T7129	Asphyxiation due to being trapped in other low oxygen environment
E8812	Generalized lipodystrophy
B965	Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
I707	Atherosclerosis of other type of bypass graft(s) of the extremities
C8352	Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes
H5442A	Blindness, left eye, category 3-5
M65251	Calcific tendinitis, right thigh
N80B3	Endometriosis of diaphragm
O9203	Retracted nipple associated with lactation
S25111	Minor laceration of right innominate or subclavian artery
Z291	Encounter for prophylactic immunotherapy
M07679	Enteropathic arthropathies, unspecified ankle and foot
T621X1	Toxic effect of ingested berries, accidental (unintentional)
C84A0	Cutaneous T-cell lymphoma, unspecified, unspecified site
I2724	Chronic thromboembolic pulmonary hypertension
M11229	Other chondrocalcinosis, unspecified elbow
T63824	Toxic effect of contact with venomous toad, undetermined
V79	Bus occupant injured in other and unspecified transport accidents
S4692	Laceration of unspecified muscle, fascia and tendon at shoulder and upper arm level
V8079	Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
S7411	Injury of femoral nerve at hip and thigh level, right leg
S01132	Puncture wound without foreign body of left eyelid and periocular area
T654X	Toxic effect of carbon disulfide
H04519	Dacryolith of unspecified lacrimal passage
H6051	Acute actinic otitis externa
V9033	Drowning and submersion due to falling or jumping from other crushed powered watercraft
P268	Other pulmonary hemorrhages originating in the perinatal period
P616	Other transient neonatal disorders of coagulation
M4219	Adult osteochondrosis of spine, multiple sites in spine
M8430	Stress fracture, unspecified site
H65191	Other acute nonsuppurative otitis media, right ear
T50B92	Poisoning by other viral vaccines, intentional self-harm
D57434	Sickle-cell thalassemia beta zero with dactylitis
M063	Rheumatoid nodule
H20042	Secondary noninfectious iridocyclitis, left eye
M12339	Palindromic rheumatism, unspecified wrist
M70849	Other soft tissue disorders related to use, overuse and pressure, unspecified hand
T84127	Displacement of internal fixation device of bone of left lower leg
K714	Toxic liver disease with chronic lobular hepatitis
M89311	Hypertrophy of bone, right shoulder
S61201	Unspecified open wound of left index finger without damage to nail
V4394	Unspecified car occupant injured in collision with van in traffic accident
S31111	Laceration without foreign body of abdominal wall, left upper quadrant without penetration into peritoneal cavity
F55	Abuse of non-psychoactive substances
Q551	Hypoplasia of testis and scrotum
S75811	Laceration of other blood vessels at hip and thigh level, right leg
V39	Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
Z89441	Acquired absence of right ankle
S3603	Laceration of spleen
C153	Malignant neoplasm of upper third of esophagus
M674	Ganglion
Q102	Congenital entropion
F15929	Other stimulant use, unspecified with intoxication, unspecified
K251	Acute gastric ulcer with perforation
K5011	Crohn's disease of large intestine with complications
S82113	Displaced fracture of unspecified tibial spine
S9902	Salter-Harris Type II physeal fracture of calcaneus
T45521	Poisoning by antithrombotic drugs, accidental (unintentional)
M1253	Traumatic arthropathy, wrist
O356	Maternal care for (suspected) damage to fetus by radiation
F1192	Opioid use, unspecified with intoxication
O99325	Drug use complicating the puerperium
T541X2	Toxic effect of other corrosive organic compounds, intentional self-harm
L98452	Non-pressure chronic ulcer of neck with fat layer exposed
J84112	Idiopathic pulmonary fibrosis
T3164	Burns involving 60-69% of body surface with 40-49% third degree burns
T870X1	Complications of reattached (part of) right upper extremity
L0304	Acute lymphangitis of toe
S99099	Other physeal fracture of unspecified calcaneus
H432	Crystalline deposits in vitreous body
L97208	Non-pressure chronic ulcer of unspecified calf with other specified severity
M1A479	Other secondary chronic gout, unspecified ankle and foot
M89719	Major osseous defect, unspecified shoulder region
D57411	Sickle-cell thalassemia, unspecified, with acute chest syndrome
P72	Other transitory neonatal endocrine disorders
V2439	Person boarding or alighting other motorcycle injured in collision with heavy transport vehicle or bus
M0564	Rheumatoid arthritis of hand with involvement of other organs and systems
S8982	Other specified injuries of left lower leg
T655X4	Toxic effect of nitroglycerin and other nitric acids and esters, undetermined
T628X3	Toxic effect of other specified noxious substances eaten as food, assault
H5704	Mydriasis
K5904	Chronic idiopathic constipation
N35816	Other urethral stricture, male, overlapping sites
S82099	Other fracture of unspecified patella
H26132	Total traumatic cataract, left eye
S20162	Insect bite (nonvenomous) of breast, left breast
Y92250	Art Gallery as the place of occurrence of the external cause
D313	Benign neoplasm of choroid
S66422	Laceration of intrinsic muscle, fascia and tendon of left thumb at wrist and hand level
T621X2	Toxic effect of ingested berries, intentional self-harm
Z73811	Behavioral insomnia of childhood, limit setting type
M87219	Osteonecrosis due to previous trauma, unspecified shoulder
S88021	Partial traumatic amputation at knee level, right lower leg
Q313	Laryngocele
T83112	Breakdown (mechanical) of indwelling ureteral stent
C574	Malignant neoplasm of uterine adnexa, unspecified
S63121	Subluxation of interphalangeal joint of right thumb
O1402	Mild to moderate pre-eclampsia, second trimester
O284	Abnormal radiological finding on antenatal screening of mother
Y35319	Legal intervention involving baton, unspecified person injured
C8138	Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites
T455	Poisoning by, adverse effect of and underdosing of anticoagulants and antithrombotic drugs
F5231	Female orgasmic disorder
O34522	Maternal care for prolapse of gravid uterus, second trimester
T65824	Toxic effect of harmful algae and algae toxins, undetermined
H47039	Optic nerve hypoplasia, unspecified eye
O1224	Gestational edema with proteinuria, complicating childbirth
S6720	Crushing injury of unspecified hand
Q913	Trisomy 18, unspecified
V801	Animal-rider or occupant of animal-drawn vehicle injured in collision with pedestrian or animal
I80291	Phlebitis and thrombophlebitis of other deep vessels of right lower extremity
P91819	Neonatal encephalopathy, unspecified
X033	Fall due to controlled fire, not in building or structure
S345	Injury of lumbar, sacral and pelvic sympathetic nerves
H6110	Unspecified noninfective disorders of pinna
T24419	Corrosion of unspecified degree of unspecified thigh
F0153	Vascular dementia, unspecified severity, with mood disturbance
M999	Biomechanical lesion, unspecified
P8388	Other specified conditions of integument specific to newborn
F03B3	Unspecified dementia, moderate, with mood disturbance
S83015	Lateral dislocation of left patella
L02235	Carbuncle of perineum
M06322	Rheumatoid nodule, left elbow
I70403	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs
Z89222	Acquired absence of left upper limb above elbow
B377	Candidal sepsis
G40C01	Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus
O347	Maternal care for abnormality of vulva and perineum
S13121	Dislocation of C1/C2 cervical vertebrae
Z574	Occupational exposure to toxic agents in agriculture
M10012	Idiopathic gout, left shoulder
M65261	Calcific tendinitis, right lower leg
M92	Other juvenile osteochondrosis
R834	Abnormal immunological findings in cerebrospinal fluid
S6742	Crushing injury of left wrist and hand
C712	Malignant neoplasm of temporal lobe
H0233	Blepharochalasis right eye, unspecified eyelid
S32441	Displaced fracture of posterior column [ilioischial] of right acetabulum
T23009	Burn of unspecified degree of unspecified hand, unspecified site
T23591	Corrosion of first degree of multiple sites of right wrist and hand
M47029	Vertebral artery compression syndromes, site unspecified
H4751	Disorders of visual pathways in (due to) inflammatory disorders
G434	Hemiplegic migraine
R40213	Coma scale, eyes open, to sound
D57454	Sickle-cell thalassemia beta plus with dactylitis
C6930	Malignant neoplasm of unspecified choroid
B252	Cytomegaloviral pancreatitis
Q6602	Congenital talipes equinovarus, left foot
V194	Pedal cycle driver injured in collision with other and unspecified motor vehicles in traffic accident
M6101	Myositis ossificans traumatica, shoulder
M6581	Other synovitis and tenosynovitis, shoulder
S37031	Laceration of right kidney, unspecified degree
T20619	Corrosion of second degree of unspecified ear [any part, except ear drum]
H81311	Aural vertigo, right ear
K316	Fistula of stomach and duodenum
C7410	Malignant neoplasm of medulla of unspecified adrenal gland
S95112	Laceration of plantar artery of left foot
N836	Hematosalpinx
T8150	Unspecified complication of foreign body accidentally left in body following procedure
H30812	Harada's disease, left eye
M4604	Spinal enthesopathy, thoracic region
T467X4	Poisoning by peripheral vasodilators, undetermined
F5222	Female sexual arousal disorder
I69859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
M96669	Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified leg
T23262	Burn of second degree of back of left hand
T447X1	Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional)
W88	Exposure to ionizing radiation
K260	Acute duodenal ulcer with hemorrhage
P942	Congenital hypotonia
S13100	Subluxation of unspecified cervical vertebrae
G44321	Chronic post-traumatic headache, intractable
S53025	Posterior dislocation of left radial head
M71141	Other infective bursitis, right hand
S27329	Contusion of lung, unspecified
S51001	Unspecified open wound of right elbow
M24176	Other articular cartilage disorders, unspecified foot
F1619	Hallucinogen abuse with unspecified hallucinogen-induced disorder
H05403	Unspecified enophthalmos, bilateral
T83038	Leakage of other urinary catheter
H61191	Noninfective disorders of pinna, right ear
J842	Lymphoid interstitial pneumonia
T401	Poisoning by and adverse effect of heroin
M89349	Hypertrophy of bone, unspecified hand
S86992	Other injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg
M6023	Foreign body granuloma of soft tissue, not elsewhere classified, forearm
K31A0	Gastric intestinal metaplasia, unspecified
R39	Other and unspecified symptoms and signs involving the genitourinary system
H25092	Other age-related incipient cataract, left eye
T440X5	Adverse effect of anticholinesterase agents
S66292	Other specified injury of extensor muscle, fascia and tendon of left thumb at wrist and hand level
M89642	Osteopathy after poliomyelitis, left hand
S52133	Displaced fracture of neck of unspecified radius
S42015	Posterior displaced fracture of sternal end of left clavicle
D3001	Benign neoplasm of right kidney
M10119	Lead-induced gout, unspecified shoulder
Z914	Personal history of psychological trauma, not elsewhere classified
M3300	Juvenile dermatomyositis, organ involvement unspecified
H541223	Low vision right eye category 2, blindness left eye category 3
M85021	Fibrous dysplasia (monostotic), right upper arm
N8032	Endometriosis of the posterior cul-de-sac
T63	Toxic effect of contact with venomous animals and plants
S9904	Salter-Harris Type IV physeal fracture of calcaneus
V663	Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident
L550	Sunburn of first degree
V671	Passenger in heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident
H187	Other and unspecified corneal deformities
H02829	Cysts of unspecified eye, unspecified eyelid
V2849	Other motorcycle driver injured in noncollision transport accident in traffic accident
R062	Wheezing
M543	Sciatica
D134	Benign neoplasm of liver
S31613	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity
M08829	Other juvenile arthritis, unspecified elbow
Z9149	Other personal history of psychological trauma, not elsewhere classified
I82411	Acute embolism and thrombosis of right femoral vein
M02812	Other reactive arthropathies, left shoulder
O881	Amniotic fluid embolism
S6324	Subluxation of distal interphalangeal joint of finger
I459	Conduction disorder, unspecified
V105	Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident
C7A090	Malignant carcinoid tumor of the bronchus and lung
M06872	Other specified rheumatoid arthritis, left ankle and foot
M8618	Other acute osteomyelitis, other site
R402A	Nontraumatic coma due to underlying condition
S37822	Contusion of prostate
C4922	Malignant neoplasm of connective and soft tissue of left lower limb, including hip
H3304	Retinal detachment with retinal dialysis
S274	Injury of bronchus
S95902	Unspecified injury of unspecified blood vessel at ankle and foot level, left leg
H21303	Idiopathic cysts of iris, ciliary body or anterior chamber, bilateral
O701	Second degree perineal laceration during delivery
S7010	Contusion of unspecified thigh
S92056	Nondisplaced other extraarticular fracture of unspecified calcaneus
Z059	Observation and evaluation of newborn for unspecified suspected condition ruled out
E0969	Drug or chemical induced diabetes mellitus with other specified complication
J45991	Cough variant asthma
R102	Pelvic and perineal pain
T492X6	Underdosing of local astringents and local detergents
E1300	Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
M2401	Loose body in shoulder
T85860	Thrombosis due to nervous system prosthetic devices, implants and grafts
M6028	Foreign body granuloma of soft tissue, not elsewhere classified, other site
I743	Embolism and thrombosis of arteries of the lower extremities
M61459	Other calcification of muscle, unspecified thigh
J3489	Other specified disorders of nose and nasal sinuses
K8591	Acute pancreatitis with uninfected necrosis, unspecified
Z78	Other specified health status
S249	Injury of unspecified nerve of thorax
T50A21	Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional)
V459	Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident
H02009	Unspecified entropion of unspecified eye, unspecified eyelid
J322	Chronic ethmoidal sinusitis
Q970	Karyotype 47, XXX
S42444	Nondisplaced fracture (avulsion) of medial epicondyle of right humerus
O1415	Severe pre-eclampsia, complicating the puerperium
Y07436	Stepsister, perpetrator of maltreatment and neglect
M84431	Pathological fracture, right ulna
S66396	Other injury of extensor muscle, fascia and tendon of right little finger at wrist and hand level
S82436	Nondisplaced oblique fracture of shaft of unspecified fibula
T24592	Corrosion of first degree of multiple sites of left lower limb, except ankle and foot
T445X2	Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm
M0685	Other specified rheumatoid arthritis, hip
I70738	Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg
K269	Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation
M25622	Stiffness of left elbow, not elsewhere classified
M460	Spinal enthesopathy
I254	Coronary artery aneurysm and dissection
M4634	Infection of intervertebral disc (pyogenic), thoracic region
M86469	Chronic osteomyelitis with draining sinus, unspecified tibia and fibula
S6811	Complete traumatic metacarpophalangeal amputation of other and unspecified finger
T3791	Poisoning by unspecified systemic anti-infective and antiparasitics, accidental (unintentional)
K9411	Enterostomy hemorrhage
S2132	Laceration with foreign body of front wall of thorax with penetration into thoracic cavity
V15	Pedal cycle rider injured in collision with railway train or railway vehicle
C73	Malignant neoplasm of thyroid gland
M2567	Stiffness of ankle and foot, not elsewhere classified
K652	Spontaneous bacterial peritonitis
M89319	Hypertrophy of bone, unspecified shoulder
M89062	Algoneurodystrophy, left lower leg
N75	Diseases of Bartholin's gland
S9223	Fracture of intermediate cuneiform
C33	Malignant neoplasm of trachea
H22	Disorders of iris and ciliary body in diseases classified elsewhere
T8539	Other mechanical complication of other ocular prosthetic devices, implants and grafts
S52365	Nondisplaced segmental fracture of shaft of radius, left arm
T408X3	Poisoning by lysergide [LSD], assault
V580	Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident
D74	Methemoglobinemia
S12200	Unspecified displaced fracture of third cervical vertebra
T386X3	Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, assault
C024	Malignant neoplasm of lingual tonsil
T2312	Burn of first degree of single finger (nail) except thumb
M87144	Osteonecrosis due to drugs, right finger(s)
F03B4	Unspecified dementia, moderate, with anxiety
O3081	Other specified multiple gestation with two or more monochorionic fetuses
S62509	Fracture of unspecified phalanx of unspecified thumb
S7091	Unspecified superficial injury of hip
M216X	Other acquired deformities of foot
M62132	Other rupture of muscle (nontraumatic), left forearm
C6291	Malignant neoplasm of right testis, unspecified whether descended or undescended
E1137	Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment
I70621	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg
Q209	Congenital malformation of cardiac chambers and connections, unspecified
T2032	Burn of third degree of lip(s)
Q7033	Webbed toes, bilateral
R6812	Fussy infant (baby)
C7642	Malignant neoplasm of left upper limb
M01X21	Direct infection of right elbow in infectious and parasitic diseases classified elsewhere
M25373	Other instability, unspecified ankle
C7919	Secondary malignant neoplasm of other urinary organs
H16409	Unspecified corneal neovascularization, unspecified eye
T504X6	Underdosing of drugs affecting uric acid metabolism
B966	Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
O1214	Gestational proteinuria, complicating childbirth
S862	Injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level
L97914	Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone
T63592	Toxic effect of contact with other venomous fish, intentional self-harm
H4052	Glaucoma secondary to other eye disorders, left eye
H4053	Glaucoma secondary to other eye disorders, bilateral
M10049	Idiopathic gout, unspecified hand
M265	Dentofacial functional abnormalities
Q902	Trisomy 21, translocation
S2202	Fracture of second thoracic vertebra
I87319	Chronic venous hypertension (idiopathic) with ulcer of unspecified lower extremity
S61235	Puncture wound without foreign body of left ring finger without damage to nail
V104	Pedal cycle driver injured in collision with pedestrian or animal in traffic accident
W490	Item causing external constriction
S36509	Unspecified injury of unspecified part of colon
J0101	Acute recurrent maxillary sinusitis
