icd9_code	icd9_phe	potential_matches
099	Other venereal diseases	
110	Dermatophytosis	
111	Dermatomycosis, other and unspecified	
112	Candidiasis	
1179	Other and unspecified mycoses	ICD10_code:B49:phenoname:Unspecified mycosis|ICD10_code:B488:phenoname:Other specified mycoses
1368	Other specified infectious and parasitic diseases	ICD10_code:B998:phenoname:Other infectious disease|ICD10_code:B608:phenoname:Other specified protozoal diseases
1369	Unspecified infectious and parasitic diseases	ICD10_code:B999:phenoname:Unspecified infectious disease|ICD10_code:B89:phenoname:Unspecified parasitic disease
1398	Late effects of other and unspecified infectious and parasitic diseases	ICD10_code:B949:phenoname:Sequelae of unspecified infectious and parasitic disease|ICD10_code:B948:phenoname:Sequelae of other specified infectious and parasitic diseases
153	Malignant neoplasm of colon	
157	Malignant neoplasm of pancreas	
1589	Malignant neoplasm of peritoneum, unspecified	
162	Malignant neoplasm of trachea, bronchus, and lung	
172	Malignant melanoma of skin	
173	Other and unspecified malignant neoplasm of skin	
182	Malignant neoplasm of body of uterus	
183	Malignant neoplasm of ovary and other uterine adnexa	
188	Malignant neoplasm of bladder	
189	Malignant neoplasm of kidney and other and unspecified urinary organs	
1921	Malignant neoplasm of cerebral meninges	ICD10_code:C709:phenoname:Malignant neoplasm of meninges, unspecified|ICD10_code:C700:phenoname:Malignant neoplasm of cerebral meninges
199	Malignant neoplasm without specification of site	
20000	Reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8339:phenoname:Diffuse large B-cell lymphoma, extranodal and solid organ sites|ICD10_code:C8330:phenoname:Diffuse large B-cell lymphoma, unspecified site
20010	Lymphosarcoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8359:phenoname:Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites|ICD10_code:C8350:phenoname:Lymphoblastic (diffuse) lymphoma, unspecified site
20030	Marginal zone lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8389:phenoname:Other non-follicular lymphoma, extranodal and solid organ sites|ICD10_code:C8380:phenoname:Other non-follicular lymphoma, unspecified site
20040	Mantle cell lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8319:phenoname:Mantle cell lymphoma, extranodal and solid organ sites|ICD10_code:C8310:phenoname:Mantle cell lymphoma, unspecified site
20050	Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8389:phenoname:Other non-follicular lymphoma, extranodal and solid organ sites|ICD10_code:C8380:phenoname:Other non-follicular lymphoma, unspecified site|ICD10_code:C8339:phenoname:Diffuse large B-cell lymphoma, extranodal and solid organ sites
20060	Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8479:phenoname:Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites|ICD10_code:C8470:phenoname:Anaplastic large cell lymphoma, ALK-negative, unspecified site|ICD10_code:C8469:phenoname:Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites|ICD10_code:C8460:phenoname:Anaplastic large cell lymphoma, ALK-positive, unspecified site
20080	Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8389:phenoname:Other non-follicular lymphoma, extranodal and solid organ sites|ICD10_code:C8380:phenoname:Other non-follicular lymphoma, unspecified site
201	Hodgkin's disease	
20200	Nodular lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8299:phenoname:Follicular lymphoma, unspecified, extranodal and solid organ sites|ICD10_code:C8290:phenoname:Follicular lymphoma, unspecified, unspecified site
20270	Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8449:phenoname:Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites|ICD10_code:C8440:phenoname:Peripheral T-cell lymphoma, not classified, unspecified site
2028	Other malignant lymphomas	
20280	Other malignant lymphomas, unspecified site, extranodal and solid organ sites	ICD10_code:C8589:phenoname:Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites|ICD10_code:C8580:phenoname:Other specified types of non-Hodgkin lymphoma, unspecified site
20283	Other malignant lymphomas, intra-abdominal lymph nodes	ICD10_code:C8583:phenoname:Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes|ICD10_code:C8493:phenoname:Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes
20380	Other immunoproliferative neoplasms, without mention of having achieved remission	ICD10_code:C9030:phenoname:Solitary plasmacytoma not having achieved remission|ICD10_code:C9020:phenoname:Extramedullary plasmacytoma not having achieved remission|ICD10_code:C888:phenoname:Other malignant immunoproliferative diseases
20936	Merkel cell carcinoma of other sites	ICD10_code:C4A8:phenoname:Merkel cell carcinoma of overlapping sites|ICD10_code:C4A9:phenoname:Merkel cell carcinoma, unspecified
20979	Secondary neuroendocrine tumor of other sites	ICD10_code:C7B8:phenoname:Other secondary neuroendocrine tumors|ICD10_code:C7B09:phenoname:Secondary carcinoid tumors of other sites
211	Benign neoplasm of other parts of digestive system	
2118	Benign neoplasm of retroperitoneum and peritoneum	ICD10_code:D201:phenoname:Benign neoplasm of soft tissue of peritoneum|ICD10_code:D200:phenoname:Benign neoplasm of soft tissue of retroperitoneum
2124	Benign neoplasm of pleura	
216	Benign neoplasm of skin	
227	Benign neoplasm of other endocrine glands and related structures	
2280	Hemangioma, any site	
2299	Benign neoplasm of unspecified site	
232	Carcinoma in situ of skin	
2320	Carcinoma in situ of skin of lip	
233	Carcinoma in situ of breast and genitourinary system	
2348	Carcinoma in situ of other specified sites	ICD10_code:D098:phenoname:Carcinoma in situ of other specified sites|ICD10_code:D093:phenoname:Carcinoma in situ of thyroid and other endocrine glands
2352	Neoplasm of uncertain behavior of stomach, intestines, and rectum	ICD10_code:D375:phenoname:Neoplasm of uncertain behavior of rectum|ICD10_code:D374:phenoname:Neoplasm of uncertain behavior of colon|ICD10_code:D372:phenoname:Neoplasm of uncertain behavior of small intestine|ICD10_code:D371:phenoname:Neoplasm of uncertain behavior of stomach
2354	Neoplasm of uncertain behavior of retroperitoneum and peritoneum	ICD10_code:D484:phenoname:Neoplasm of uncertain behavior of peritoneum|ICD10_code:D483:phenoname:Neoplasm of uncertain behavior of retroperitoneum
2355	Neoplasm of uncertain behavior of other and unspecified digestive organs	ICD10_code:D379:phenoname:Neoplasm of uncertain behavior of digestive organ, unspecified|ICD10_code:D378:phenoname:Neoplasm of uncertain behavior of other specified digestive organs
237	Neoplasm of uncertain behavior of endocrine glands and nervous system	
2370	Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct	ICD10_code:D444:phenoname:Neoplasm of uncertain behavior of craniopharyngeal duct|ICD10_code:D443:phenoname:Neoplasm of uncertain behavior of pituitary gland
2373	Neoplasm of uncertain behavior of paraganglia	ICD10_code:D447:phenoname:Neoplasm of uncertain behavior of aortic body and other paraganglia|ICD10_code:D446:phenoname:Neoplasm of uncertain behavior of carotid body
2374	Neoplasm of uncertain behavior of other and unspecified endocrine glands	ICD10_code:D449:phenoname:Neoplasm of uncertain behavior of unspecified endocrine gland|ICD10_code:D442:phenoname:Neoplasm of uncertain behavior of parathyroid gland|ICD10_code:D440:phenoname:Neoplasm of uncertain behavior of thyroid gland
2375	Neoplasm of uncertain behavior of brain and spinal cord	ICD10_code:D434:phenoname:Neoplasm of uncertain behavior of spinal cord|ICD10_code:D432:phenoname:Neoplasm of uncertain behavior of brain, unspecified
2376	Neoplasm of uncertain behavior of meninges	ICD10_code:D429:phenoname:Neoplasm of uncertain behavior of meninges, unspecified|ICD10_code:D421:phenoname:Neoplasm of uncertain behavior of spinal meninges|ICD10_code:D420:phenoname:Neoplasm of uncertain behavior of cerebral meninges
2379	Neoplasm of uncertain behavior of other and unspecified parts of nervous system	ICD10_code:D439:phenoname:Neoplasm of uncertain behavior of central nervous system, unspecified|ICD10_code:D438:phenoname:Neoplasm of uncertain behavior of other specified parts of central nervous system|ICD10_code:D433:phenoname:Neoplasm of uncertain behavior of cranial nerves
2387	Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues	
23872	Low grade myelodysplastic syndrome lesions	ICD10_code:D46B:phenoname:Refractory cytopenia with multilineage dysplasia and ring sideroblasts|ICD10_code:D46A:phenoname:Refractory cytopenia with multilineage dysplasia|ICD10_code:D4621:phenoname:Refractory anemia with excess of blasts 1|ICD10_code:D4620:phenoname:Refractory anemia with excess of blasts, unspecified|ICD10_code:D461:phenoname:Refractory anemia with ring sideroblasts|ICD10_code:D460:phenoname:Refractory anemia without ring sideroblasts, so stated
23879	Other lymphatic and hematopoietic tissues	ICD10_code:D47Z9:phenoname:Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue|ICD10_code:D47Z2:phenoname:Castleman disease|ICD10_code:D479:phenoname:Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified|ICD10_code:D471:phenoname:Chronic myeloproliferative disease|ICD10_code:C9442:phenoname:Acute panmyelosis with myelofibrosis, in relapse|ICD10_code:C9441:phenoname:Acute panmyelosis with myelofibrosis, in remission|ICD10_code:C9440:phenoname:Acute panmyelosis with myelofibrosis not having achieved remission
2398	Neoplasm of unspecified nature of other specified sites	
240	Simple and unspecified goiter	
241	Nontoxic nodular goiter	
242	Thyrotoxicosis with or without goiter	
2420	Toxic diffuse goiter	
24280	Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm	ICD10_code:E0580:phenoname:Other thyrotoxicosis without thyrotoxic crisis or storm|ICD10_code:E0540:phenoname:Thyrotoxicosis factitia without thyrotoxic crisis or storm
2429	Thyrotoxicosis without mention of goiter or other cause	
244	Acquired hypothyroidism	
2448	Other specified acquired hypothyroidism	ICD10_code:E038:phenoname:Other specified hypothyroidism|ICD10_code:E018:phenoname:Other iodine-deficiency related thyroid disorders and allied conditions
245	Thyroiditis	
2468	Other specified disorders of thyroid	ICD10_code:E0789:phenoname:Other specified disorders of thyroid|ICD10_code:E034:phenoname:Atrophy of thyroid (acquired)
24900	Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified	ICD10_code:E139:phenoname:Other specified diabetes mellitus without complications|ICD10_code:E099:phenoname:Drug or chemical induced diabetes mellitus without complications|ICD10_code:E089:phenoname:Diabetes mellitus due to underlying condition without complications
24901	Secondary diabetes mellitus without mention of complication, uncontrolled	ICD10_code:E0965:phenoname:Drug or chemical induced diabetes mellitus with hyperglycemia|ICD10_code:E0865:phenoname:Diabetes mellitus due to underlying condition with hyperglycemia
24911	Secondary diabetes mellitus with ketoacidosis, uncontrolled	ICD10_code:E0910:phenoname:Drug or chemical induced diabetes mellitus with ketoacidosis without coma|ICD10_code:E0865:phenoname:Diabetes mellitus due to underlying condition with hyperglycemia|ICD10_code:E0810:phenoname:Diabetes mellitus due to underlying condition with ketoacidosis without coma
24920	Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified	ICD10_code:E1300:phenoname:Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)|ICD10_code:E0901:phenoname:Drug or chemical induced diabetes mellitus with hyperosmolarity with coma|ICD10_code:E0801:phenoname:Diabetes mellitus due to underlying condition with hyperosmolarity with coma
24940	Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified	ICD10_code:E0921:phenoname:Drug or chemical induced diabetes mellitus with diabetic nephropathy|ICD10_code:E0821:phenoname:Diabetes mellitus due to underlying condition with diabetic nephropathy
24941	Secondary diabetes mellitus with renal manifestations, uncontrolled	ICD10_code:E0921:phenoname:Drug or chemical induced diabetes mellitus with diabetic nephropathy|ICD10_code:E0865:phenoname:Diabetes mellitus due to underlying condition with hyperglycemia|ICD10_code:E0821:phenoname:Diabetes mellitus due to underlying condition with diabetic nephropathy
24950	Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified	ICD10_code:E1339:phenoname:Other specified diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E0939:phenoname:Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E0937X9:phenoname:Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye|ICD10_code:E0937X3:phenoname:Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral|ICD10_code:E0937X2:phenoname:Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye|ICD10_code:E0937X1:phenoname:Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye|ICD10_code:E0936:phenoname:Drug or chemical induced diabetes mellitus with diabetic cataract|ICD10_code:E09319:phenoname:Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema|ICD10_code:E09311:phenoname:Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema|ICD10_code:E0839:phenoname:Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication|ICD10_code:E0837X9:phenoname:Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye|ICD10_code:E0837X3:phenoname:Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral|ICD10_code:E0837X2:phenoname:Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye|ICD10_code:E0837X1:phenoname:Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye|ICD10_code:E0836:phenoname:Diabetes mellitus due to underlying condition with diabetic cataract|ICD10_code:E08319:phenoname:Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema|ICD10_code:E08311:phenoname:Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
24960	Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified	ICD10_code:E0949:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication|ICD10_code:E0944:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy|ICD10_code:E0943:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy|ICD10_code:E0942:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy|ICD10_code:E0941:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy|ICD10_code:E0940:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified|ICD10_code:E08610:phenoname:Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy|ICD10_code:E0849:phenoname:Diabetes mellitus due to underlying condition with other diabetic neurological complication|ICD10_code:E0844:phenoname:Diabetes mellitus due to underlying condition with diabetic amyotrophy|ICD10_code:E0843:phenoname:Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy|ICD10_code:E0842:phenoname:Diabetes mellitus due to underlying condition with diabetic polyneuropathy|ICD10_code:E0841:phenoname:Diabetes mellitus due to underlying condition with diabetic mononeuropathy|ICD10_code:E0840:phenoname:Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified|ICD10_code:E1349:phenoname:Other specified diabetes mellitus with other diabetic neurological complication|ICD10_code:E1344:phenoname:Other specified diabetes mellitus with diabetic amyotrophy|ICD10_code:E1343:phenoname:Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy|ICD10_code:E1342:phenoname:Other specified diabetes mellitus with diabetic polyneuropathy|ICD10_code:E1341:phenoname:Other specified diabetes mellitus with diabetic mononeuropathy|ICD10_code:E1340:phenoname:Other specified diabetes mellitus with diabetic neuropathy, unspecified|ICD10_code:E09610:phenoname:Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
24961	Secondary diabetes mellitus with neurological manifestations, uncontrolled	ICD10_code:E0940:phenoname:Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified|ICD10_code:E0865:phenoname:Diabetes mellitus due to underlying condition with hyperglycemia|ICD10_code:E0840:phenoname:Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified
24970	Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified	ICD10_code:E1359:phenoname:Other specified diabetes mellitus with other circulatory complications|ICD10_code:E0951:phenoname:Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene|ICD10_code:E0851:phenoname:Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
24980	Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified	ICD10_code:E1369:phenoname:Other specified diabetes mellitus with other specified complication|ICD10_code:E1365:phenoname:Other specified diabetes mellitus with hyperglycemia|ICD10_code:E13649:phenoname:Other specified diabetes mellitus with hypoglycemia without coma|ICD10_code:E13638:phenoname:Other specified diabetes mellitus with other oral complications|ICD10_code:E13628:phenoname:Other specified diabetes mellitus with other skin complications|ICD10_code:E13622:phenoname:Other specified diabetes mellitus with other skin ulcer|ICD10_code:E13621:phenoname:Other specified diabetes mellitus with foot ulcer|ICD10_code:E13620:phenoname:Other specified diabetes mellitus with diabetic dermatitis|ICD10_code:E0969:phenoname:Drug or chemical induced diabetes mellitus with other specified complication|ICD10_code:E0965:phenoname:Drug or chemical induced diabetes mellitus with hyperglycemia|ICD10_code:E09649:phenoname:Drug or chemical induced diabetes mellitus with hypoglycemia without coma|ICD10_code:E09638:phenoname:Drug or chemical induced diabetes mellitus with other oral complications|ICD10_code:E09630:phenoname:Drug or chemical induced diabetes mellitus with periodontal disease|ICD10_code:E09628:phenoname:Drug or chemical induced diabetes mellitus with other skin complications|ICD10_code:E09622:phenoname:Drug or chemical induced diabetes mellitus with other skin ulcer|ICD10_code:E09621:phenoname:Drug or chemical induced diabetes mellitus with foot ulcer|ICD10_code:E09620:phenoname:Drug or chemical induced diabetes mellitus with diabetic dermatitis|ICD10_code:E09618:phenoname:Drug or chemical induced diabetes mellitus with other diabetic arthropathy|ICD10_code:E0869:phenoname:Diabetes mellitus due to underlying condition with other specified complication|ICD10_code:E0865:phenoname:Diabetes mellitus due to underlying condition with hyperglycemia|ICD10_code:E08638:phenoname:Diabetes mellitus due to underlying condition with other oral complications|ICD10_code:E08630:phenoname:Diabetes mellitus due to underlying condition with periodontal disease|ICD10_code:E08628:phenoname:Diabetes mellitus due to underlying condition with other skin complications|ICD10_code:E08622:phenoname:Diabetes mellitus due to underlying condition with other skin ulcer|ICD10_code:E08621:phenoname:Diabetes mellitus due to underlying condition with foot ulcer|ICD10_code:E08620:phenoname:Diabetes mellitus due to underlying condition with diabetic dermatitis|ICD10_code:E08618:phenoname:Diabetes mellitus due to underlying condition with other diabetic arthropathy
24990	Secondary diabetes mellitus with unspecified complication, not stated as uncontrolled, or unspecified	ICD10_code:E138:phenoname:Other specified diabetes mellitus with unspecified complications|ICD10_code:E098:phenoname:Drug or chemical induced diabetes mellitus with unspecified complications|ICD10_code:E088:phenoname:Diabetes mellitus due to underlying condition with unspecified complications
250	Diabetes mellitus	
2500	Diabetes mellitus without mention of complication	
2501	Diabetes with ketoacidosis	
25012	Diabetes with ketoacidosis, type II or unspecified type, uncontrolled	ICD10_code:E1310:phenoname:Other specified diabetes mellitus with ketoacidosis without coma|ICD10_code:E1169:phenoname:Type 2 diabetes mellitus with other specified complication|ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1110:phenoname:Type 2 diabetes mellitus with ketoacidosis without coma
25013	Diabetes with ketoacidosis, type I [juvenile type], uncontrolled	ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia|ICD10_code:E1010:phenoname:Type 1 diabetes mellitus with ketoacidosis without coma
25020	Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled	ICD10_code:E1101:phenoname:Type 2 diabetes mellitus with hyperosmolarity with coma|ICD10_code:E1100:phenoname:Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
25022	Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1100:phenoname:Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
25023	Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled	ICD10_code:E1069:phenoname:Type 1 diabetes mellitus with other specified complication|ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia
25032	Diabetes with other coma, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1101:phenoname:Type 2 diabetes mellitus with hyperosmolarity with coma
25033	Diabetes with other coma, type I [juvenile type], uncontrolled	ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia|ICD10_code:E1011:phenoname:Type 1 diabetes mellitus with ketoacidosis with coma
25042	Diabetes with renal manifestations, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1121:phenoname:Type 2 diabetes mellitus with diabetic nephropathy
25043	Diabetes with renal manifestations, type I [juvenile type], uncontrolled	ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia|ICD10_code:E1021:phenoname:Type 1 diabetes mellitus with diabetic nephropathy
25050	Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled	ICD10_code:E1139:phenoname:Type 2 diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E1136:phenoname:Type 2 diabetes mellitus with diabetic cataract|ICD10_code:E11319:phenoname:Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema|ICD10_code:E11311:phenoname:Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
25051	Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled	ICD10_code:E1039:phenoname:Type 1 diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E1037X9:phenoname:Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye|ICD10_code:E1037X3:phenoname:Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral|ICD10_code:E1037X2:phenoname:Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye|ICD10_code:E1037X1:phenoname:Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye|ICD10_code:E1036:phenoname:Type 1 diabetes mellitus with diabetic cataract|ICD10_code:E10319:phenoname:Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema|ICD10_code:E10311:phenoname:Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
25052	Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1139:phenoname:Type 2 diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E1136:phenoname:Type 2 diabetes mellitus with diabetic cataract|ICD10_code:E11319:phenoname:Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema|ICD10_code:E11311:phenoname:Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
25053	Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled	ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia|ICD10_code:E1039:phenoname:Type 1 diabetes mellitus with other diabetic ophthalmic complication|ICD10_code:E1036:phenoname:Type 1 diabetes mellitus with diabetic cataract|ICD10_code:E10319:phenoname:Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema|ICD10_code:E10311:phenoname:Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
2506	Diabetes with neurological manifestations	
25062	Diabetes with neurological manifestations, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1140:phenoname:Type 2 diabetes mellitus with diabetic neuropathy, unspecified
25063	Diabetes with neurological manifestations, type I [juvenile type], uncontrolled	ICD10_code:E1065:phenoname:Type 1 diabetes mellitus with hyperglycemia|ICD10_code:E1040:phenoname:Type 1 diabetes mellitus with diabetic neuropathy, unspecified
25072	Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled	ICD10_code:E1165:phenoname:Type 2 diabetes mellitus with hyperglycemia|ICD10_code:E1151:phenoname:Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
