icd9_code	icd9_phe	potential_matches
64703	Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication	ICD10_code:O98113:phenoname:Syphilis complicating pregnancy, third trimester|ICD10_code:O98112:phenoname:Syphilis complicating pregnancy, second trimester|ICD10_code:O98111:phenoname:Syphilis complicating pregnancy, first trimester
7324	Juvenile osteochondrosis of lower extremity, excluding foot	ICD10_code:M9250:phenoname:Juvenile osteochondrosis of tibia and fibula, unspecified leg|ICD10_code:M9240:phenoname:Juvenile osteochondrosis of patella, unspecified knee
7538	Other specified anomalies of bladder and urethra	ICD10_code:Q6479:phenoname:Other congenital malformations of bladder and urethra|ICD10_code:Q6475:phenoname:Double urinary meatus|ICD10_code:Q6474:phenoname:Double urethra|ICD10_code:Q6473:phenoname:Congenital urethrorectal fistula|ICD10_code:Q6471:phenoname:Congenital prolapse of urethra|ICD10_code:Q646:phenoname:Congenital diverticulum of bladder|ICD10_code:Q645:phenoname:Congenital absence of bladder and urethra
75461	Congenital pes planus	ICD10_code:Q6680:phenoname:Congenital vertical talus deformity, unspecified foot|ICD10_code:Q6650:phenoname:Congenital pes planus, unspecified foot
72252	Degeneration of lumbar or lumbosacral intervertebral disc	ICD10_code:M5137:phenoname:Other intervertebral disc degeneration, lumbosacral region|ICD10_code:M5136:phenoname:Other intervertebral disc degeneration, lumbar region
7801	Hallucinations	ICD10_code:R443:phenoname:Hallucinations, unspecified|ICD10_code:R442:phenoname:Other hallucinations|ICD10_code:R440:phenoname:Auditory hallucinations
55329	Other ventral hernia without mention of obstruction or gangrene	ICD10_code:K469:phenoname:Unspecified abdominal hernia without obstruction or gangrene|ICD10_code:K439:phenoname:Ventral hernia without obstruction or gangrene
56960	Colostomy and enterostomy complication, unspecified	ICD10_code:K9410:phenoname:Enterostomy complication, unspecified|ICD10_code:K9400:phenoname:Colostomy complication, unspecified
94128	Blisters, epidermal loss [second degree] of neck	ICD10_code:T2067XA:phenoname:Corrosion of second degree of neck, initial encounter|ICD10_code:T2027XA:phenoname:Burn of second degree of neck, initial encounter
8700	Laceration of skin of eyelid and periocular area	ICD10_code:S01159A:phenoname:Open bite of unspecified eyelid and periocular area, initial encounter|ICD10_code:S01149A:phenoname:Puncture wound with foreign body of unspecified eyelid and periocular area, initial encounter|ICD10_code:S01139A:phenoname:Puncture wound without foreign body of unspecified eyelid and periocular area, initial encounter|ICD10_code:S01129A:phenoname:Laceration with foreign body of unspecified eyelid and periocular area, initial encounter|ICD10_code:S01119A:phenoname:Laceration without foreign body of unspecified eyelid and periocular area, initial encounter
9879	Toxic effect of unspecified gas, fume, or vapor	ICD10_code:T5994XA:phenoname:Toxic effect of unspecified gases, fumes and vapors, undetermined, initial encounter|ICD10_code:T5993XA:phenoname:Toxic effect of unspecified gases, fumes and vapors, assault, initial encounter|ICD10_code:T5992XA:phenoname:Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, initial encounter|ICD10_code:T5991XA:phenoname:Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional), initial encounter|ICD10_code:T59814A:phenoname:Toxic effect of smoke, undetermined, initial encounter|ICD10_code:T59813A:phenoname:Toxic effect of smoke, assault, initial encounter|ICD10_code:T59812A:phenoname:Toxic effect of smoke, intentional self-harm, initial encounter|ICD10_code:T59811A:phenoname:Toxic effect of smoke, accidental (unintentional), initial encounter
7509	Unspecified anomaly of upper alimentary tract	ICD10_code:Q409:phenoname:Congenital malformation of upper alimentary tract, unspecified|ICD10_code:Q385:phenoname:Congenital malformations of palate, not elsewhere classified
8025	Open fracture of malar and maxillary bones	ICD10_code:S0240FB:phenoname:Zygomatic fracture, left side, initial encounter for open fracture|ICD10_code:S0240EB:phenoname:Zygomatic fracture, right side, initial encounter for open fracture|ICD10_code:S0240DB:phenoname:Maxillary fracture, left side, initial encounter for open fracture|ICD10_code:S0240CB:phenoname:Maxillary fracture, right side, initial encounter for open fracture|ICD10_code:S0240BB:phenoname:Malar fracture, left side, initial encounter for open fracture|ICD10_code:S0240AB:phenoname:Malar fracture, right side, initial encounter for open fracture|ICD10_code:S02402B:phenoname:Zygomatic fracture, unspecified side, initial encounter for open fracture|ICD10_code:S02401B:phenoname:Maxillary fracture, unspecified side, initial encounter for open fracture|ICD10_code:S02400B:phenoname:Malar fracture, unspecified side, initial encounter for open fracture
8861	Traumatic amputation of other finger(s) (complete) (partial), complicated	ICD10_code:S68629A:phenoname:Partial traumatic transphalangeal amputation of unspecified finger, initial encounter|ICD10_code:S68619A:phenoname:Complete traumatic transphalangeal amputation of unspecified finger, initial encounter|ICD10_code:S68129A:phenoname:Partial traumatic metacarpophalangeal amputation of unspecified finger, initial encounter|ICD10_code:S68119A:phenoname:Complete traumatic metacarpophalangeal amputation of unspecified finger, initial encounter
1978	Secondary malignant neoplasm of other digestive organs and spleen	ICD10_code:C7889:phenoname:Secondary malignant neoplasm of other digestive organs|ICD10_code:C787:phenoname:Secondary malignant neoplasm of liver and intrahepatic bile duct
2752	Disorders of magnesium metabolism	ICD10_code:E8349:phenoname:Other disorders of magnesium metabolism|ICD10_code:E8342:phenoname:Hypomagnesemia|ICD10_code:E8341:phenoname:Hypermagnesemia|ICD10_code:E8340:phenoname:Disorders of magnesium metabolism, unspecified
64123	Premature separation of placenta, antepartum condition or complication	ICD10_code:O4593:phenoname:Premature separation of placenta, unspecified, third trimester|ICD10_code:O4592:phenoname:Premature separation of placenta, unspecified, second trimester|ICD10_code:O4591:phenoname:Premature separation of placenta, unspecified, first trimester|ICD10_code:O458X3:phenoname:Other premature separation of placenta, third trimester|ICD10_code:O458X2:phenoname:Other premature separation of placenta, second trimester|ICD10_code:O458X1:phenoname:Other premature separation of placenta, first trimester
34590	Epilepsy, unspecified, without mention of intractable epilepsy	ICD10_code:G40909:phenoname:Epilepsy, unspecified, not intractable, without status epilepticus|ICD10_code:G40901:phenoname:Epilepsy, unspecified, not intractable, with status epilepticus
59589	Other specified types of cystitis	ICD10_code:N3081:phenoname:Other cystitis with hematuria|ICD10_code:N3080:phenoname:Other cystitis without hematuria
94321	Blisters, epidermal loss [second degree] of forearm	ICD10_code:T22619A:phenoname:Corrosion of second degree of unspecified forearm, initial encounter|ICD10_code:T22219A:phenoname:Burn of second degree of unspecified forearm, initial encounter
9691	Poisoning by phenothiazine-based tranquilizers	ICD10_code:T433X4A:phenoname:Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, initial encounter|ICD10_code:T433X3A:phenoname:Poisoning by phenothiazine antipsychotics and neuroleptics, assault, initial encounter|ICD10_code:T433X2A:phenoname:Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter|ICD10_code:T433X1A:phenoname:Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional), initial encounter
4532	Other venous embolism and thrombosis of inferior vena cava	ICD10_code:I82221:phenoname:Chronic embolism and thrombosis of inferior vena cava|ICD10_code:I82220:phenoname:Acute embolism and thrombosis of inferior vena cava
65821	Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition	ICD10_code:O4212:phenoname:Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture|ICD10_code:O42113:phenoname:Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester|ICD10_code:O42112:phenoname:Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, second trimester|ICD10_code:O42111:phenoname:Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, first trimester|ICD10_code:O4210:phenoname:Premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation
66604	Third-stage postpartum hemorrhage, postpartum condition or complication	ICD10_code:O720:phenoname:Third-stage hemorrhage|ICD10_code:O720:phenoname:Third-stage hemorrhage|ICD10_code:O43233:phenoname:Placenta percreta, third trimester|ICD10_code:O43232:phenoname:Placenta percreta, second trimester|ICD10_code:O43231:phenoname:Placenta percreta, first trimester|ICD10_code:O43223:phenoname:Placenta increta, third trimester|ICD10_code:O43222:phenoname:Placenta increta, second trimester|ICD10_code:O43221:phenoname:Placenta increta, first trimester|ICD10_code:O43213:phenoname:Placenta accreta, third trimester|ICD10_code:O43212:phenoname:Placenta accreta, second trimester|ICD10_code:O43211:phenoname:Placenta accreta, first trimester
31400	Attention deficit disorder without mention of hyperactivity	ICD10_code:F909:phenoname:Attention-deficit hyperactivity disorder, unspecified type|ICD10_code:F900:phenoname:Attention-deficit hyperactivity disorder, predominantly inattentive type
34202	Flaccid hemiplegia and hemiparesis affecting nondominant side	ICD10_code:G8104:phenoname:Flaccid hemiplegia affecting left nondominant side|ICD10_code:G8103:phenoname:Flaccid hemiplegia affecting right nondominant side
36021	Progressive high (degenerative) myopia	ICD10_code:H442E9:phenoname:Degenerative myopia with other maculopathy, unspecified eye|ICD10_code:H442E3:phenoname:Degenerative myopia with other maculopathy, bilateral eye|ICD10_code:H442E2:phenoname:Degenerative myopia with other maculopathy, left eye|ICD10_code:H442E1:phenoname:Degenerative myopia with other maculopathy, right eye|ICD10_code:H442D9:phenoname:Degenerative myopia with foveoschisis, unspecified eye|ICD10_code:H442D3:phenoname:Degenerative myopia with foveoschisis, bilateral eye|ICD10_code:H442D2:phenoname:Degenerative myopia with foveoschisis, left eye|ICD10_code:H442D1:phenoname:Degenerative myopia with foveoschisis, right eye|ICD10_code:H442C9:phenoname:Degenerative myopia with retinal detachment, unspecified eye|ICD10_code:H442C3:phenoname:Degenerative myopia with retinal detachment, bilateral eye|ICD10_code:H442C2:phenoname:Degenerative myopia with retinal detachment, left eye|ICD10_code:H442C1:phenoname:Degenerative myopia with retinal detachment, right eye|ICD10_code:H442B9:phenoname:Degenerative myopia with macular hole, unspecified eye|ICD10_code:H442B3:phenoname:Degenerative myopia with macular hole, bilateral eye|ICD10_code:H442B2:phenoname:Degenerative myopia with macular hole, left eye|ICD10_code:H442B1:phenoname:Degenerative myopia with macular hole, right eye|ICD10_code:H442A9:phenoname:Degenerative myopia with choroidal neovascularization, unspecified eye|ICD10_code:H442A3:phenoname:Degenerative myopia with choroidal neovascularization, bilateral eye|ICD10_code:H442A2:phenoname:Degenerative myopia with choroidal neovascularization, left eye|ICD10_code:H442A1:phenoname:Degenerative myopia with choroidal neovascularization, right eye|ICD10_code:H4423:phenoname:Degenerative myopia, bilateral|ICD10_code:H4422:phenoname:Degenerative myopia, left eye|ICD10_code:H4421:phenoname:Degenerative myopia, right eye|ICD10_code:H4420:phenoname:Degenerative myopia, unspecified eye
71907	Effusion of joint, ankle and foot	ICD10_code:M25476:phenoname:Effusion, unspecified foot|ICD10_code:M25473:phenoname:Effusion, unspecified ankle
1727	Malignant melanoma of skin of lower limb, including hip	ICD10_code:D0372:phenoname:Melanoma in situ of left lower limb, including hip|ICD10_code:D0371:phenoname:Melanoma in situ of right lower limb, including hip|ICD10_code:D0370:phenoname:Melanoma in situ of unspecified lower limb, including hip|ICD10_code:C4370:phenoname:Malignant melanoma of unspecified lower limb, including hip
2350	Neoplasm of uncertain behavior of major salivary glands	ICD10_code:D37039:phenoname:Neoplasm of uncertain behavior of the major salivary glands, unspecified|ICD10_code:D37032:phenoname:Neoplasm of uncertain behavior of the submandibular salivary glands|ICD10_code:D37031:phenoname:Neoplasm of uncertain behavior of the sublingual salivary glands|ICD10_code:D37030:phenoname:Neoplasm of uncertain behavior of the parotid salivary glands
932	Foreign body in nose	ICD10_code:T171XXA:phenoname:Foreign body in nostril, initial encounter|ICD10_code:T170XXA:phenoname:Foreign body in nasal sinus, initial encounter
29699	Other specified episodic mood disorder	ICD10_code:F3489:phenoname:Other specified persistent mood disorders|ICD10_code:F3481:phenoname:Disruptive mood dysregulation disorder
